# meta: {"smoothing_window": 3, "stride": 1, "run_type": "dynamic"}
time,song_bpm,walking_bpm,step_event,instant_bpm
00:00:00.000,80.0,80.0,False,
00:00:00.004,80.0,80.0,False,
00:00:00.104,80.0,80.0,False,
00:00:00.205,80.0,80.0,False,
00:00:00.307,80.0,80.0,False,
00:00:00.408,80.0,80.0,False,
00:00:00.510,80.0,80.0,False,
00:00:00.611,80.0,80.0,False,
00:00:00.711,80.0,80.0,False,
00:00:00.812,80.0,80.0,False,
00:00:00.912,80.0,80.0,False,
00:00:01.013,80.0,80.0,False,
00:00:01.114,80.0,80.0,False,
00:00:01.215,80.0,80.0,False,
00:00:01.316,80.0,80.0,False,
00:00:01.417,80.0,80.0,False,
00:00:01.517,80.0,80.0,False,
00:00:01.618,80.0,80.0,False,
00:00:01.719,80.0,80.0,False,
00:00:01.819,80.0,80.0,False,
00:00:01.920,80.0,80.0,False,
00:00:02.021,80.0,80.0,False,
00:00:02.122,80.0,80.0,False,
00:00:02.223,80.0,80.0,False,
00:00:02.324,80.0,80.0,False,
00:00:02.425,80.0,80.0,False,
00:00:02.525,80.0,80.0,False,
00:00:02.626,80.0,80.0,False,
00:00:02.727,80.0,80.0,False,
00:00:02.828,80.0,80.0,False,
00:00:02.929,80.0,80.0,False,
00:00:03.031,80.0,80.0,False,
00:00:03.131,80.0,80.0,False,
00:00:03.232,80.0,80.0,False,
00:00:03.332,80.0,80.0,False,
00:00:03.433,80.0,80.0,False,
00:00:03.533,80.0,80.0,False,
00:00:03.635,80.0,80.0,False,
00:00:03.737,80.0,80.0,False,
00:00:03.837,80.0,80.0,False,
00:00:03.938,80.0,80.0,False,
00:00:04.038,80.0,80.0,False,
00:00:04.138,80.0,80.0,False,
00:00:04.239,80.0,80.0,False,
00:00:04.340,80.0,80.0,False,
00:00:04.441,80.0,80.0,False,
00:00:04.542,80.0,80.0,False,
00:00:04.643,80.0,80.0,False,
00:00:04.744,80.0,80.0,False,
00:00:04.845,80.0,80.0,False,
00:00:04.946,80.0,80.0,False,
00:00:05.046,80.0,80.0,False,
00:00:05.147,80.0,80.0,False,
00:00:05.248,80.0,80.0,False,
00:00:05.349,80.0,80.0,False,
00:00:05.451,80.0,80.0,False,
00:00:05.551,80.0,80.0,False,
00:00:05.653,80.0,80.0,False,
00:00:05.754,80.0,80.0,False,
00:00:05.854,80.0,80.0,False,
00:00:05.955,80.0,80.0,False,
00:00:06.055,80.0,80.0,False,
00:00:06.155,80.0,80.0,False,
00:00:06.257,80.0,80.0,False,
00:00:06.358,80.0,80.0,False,
00:00:06.459,80.0,80.0,False,
00:00:06.560,80.0,80.0,False,
00:00:06.662,80.0,80.0,False,
00:00:06.763,80.0,80.0,False,
00:00:06.864,80.0,80.0,False,
00:00:06.965,80.0,80.0,False,
00:00:07.066,80.0,80.0,False,
00:00:07.167,80.0,80.0,False,
00:00:07.268,80.0,80.0,False,
00:00:07.369,80.0,80.0,False,
00:00:07.469,80.0,80.0,False,
00:00:07.570,80.0,80.0,False,
00:00:07.671,80.0,80.0,False,
00:00:07.772,80.0,80.0,False,
00:00:07.873,80.0,80.0,False,
00:00:07.973,80.0,80.0,False,
00:00:08.074,80.0,80.0,False,
00:00:08.176,80.0,80.0,False,
00:00:08.276,80.0,80.0,False,
00:00:08.377,80.0,80.0,False,
00:00:08.477,80.0,80.0,False,
00:00:08.579,80.0,80.0,False,
00:00:08.680,80.0,80.0,False,
00:00:08.781,80.0,80.0,False,
00:00:08.881,80.0,80.0,False,
00:00:08.981,80.0,80.0,False,
00:00:09.083,80.0,80.0,False,
00:00:09.184,80.0,80.0,False,
00:00:09.285,80.0,80.0,False,
00:00:09.386,80.0,80.0,False,
00:00:09.487,80.0,80.0,False,
00:00:09.588,80.0,80.0,False,
00:00:09.688,80.0,80.0,False,
00:00:09.789,80.0,80.0,False,
00:00:09.890,80.0,80.0,False,
00:00:09.992,80.0,80.0,False,
00:00:10.092,80.0,80.0,False,
00:00:10.193,80.0,80.0,False,
00:00:10.294,80.0,80.0,False,
00:00:10.395,80.0,80.0,False,
00:00:10.496,80.0,80.0,False,
00:00:10.597,80.0,80.0,False,
00:00:10.697,80.0,80.0,False,
00:00:10.799,80.0,80.0,False,
00:00:10.899,80.0,80.0,False,
00:00:11.000,80.0,80.0,False,
00:00:11.101,80.0,80.0,False,
00:00:11.202,80.0,80.0,False,
00:00:11.303,80.0,80.0,False,
00:00:11.403,80.0,80.0,False,
00:00:11.504,80.0,80.0,False,
00:00:11.606,80.0,80.0,False,
00:00:11.706,80.0,80.0,False,
00:00:11.807,80.0,80.0,False,
00:00:11.908,80.0,80.0,False,
00:00:12.009,80.0,80.0,False,
00:00:12.110,80.0,80.0,False,
00:00:12.210,80.0,80.0,False,
00:00:12.311,80.0,80.0,False,
00:00:12.413,80.0,80.0,False,
00:00:12.514,80.0,80.0,False,
00:00:12.615,80.0,80.0,False,
00:00:12.717,80.0,80.0,False,
00:00:12.817,80.0,80.0,False,
00:00:12.917,80.0,80.0,False,
00:00:13.018,80.0,80.0,False,
00:00:13.119,80.0,80.0,False,
00:00:13.220,80.0,80.0,False,
00:00:13.321,80.0,80.0,False,
00:00:13.422,80.0,80.0,False,
00:00:13.523,80.0,80.0,False,
00:00:13.623,80.0,80.0,False,
00:00:13.724,80.0,80.0,False,
00:00:13.825,80.0,80.0,False,
00:00:13.926,80.0,80.0,False,
00:00:14.027,80.0,80.0,False,
00:00:14.128,80.0,80.0,False,
00:00:14.228,80.0,80.0,False,
00:00:14.328,80.0,80.0,False,
00:00:14.429,80.0,80.0,False,
00:00:14.530,80.0,80.0,False,
00:00:14.632,80.0,80.0,False,
00:00:14.733,80.0,80.0,False,
00:00:14.835,80.0,80.0,False,
00:00:14.935,80.0,80.0,False,
00:00:15.037,80.0,80.0,False,
00:00:15.138,80.0,80.0,False,
00:00:15.239,80.0,80.0,False,
00:00:15.340,80.0,80.0,False,
00:00:15.440,80.0,80.0,False,
00:00:15.541,80.0,80.0,False,
00:00:15.642,80.0,80.0,False,
00:00:15.743,80.0,80.0,False,
00:00:15.843,80.0,80.0,False,
00:00:15.943,80.0,80.0,False,
00:00:16.044,80.0,80.0,False,
00:00:16.144,80.0,80.0,False,
00:00:16.245,80.0,80.0,False,
00:00:16.346,80.0,80.0,False,
00:00:16.447,80.0,80.0,False,
00:00:16.548,80.0,80.0,False,
00:00:16.649,80.0,80.0,False,
00:00:16.750,80.0,80.0,False,
00:00:16.851,80.0,80.0,False,
00:00:16.952,80.0,80.0,False,
00:00:17.053,80.0,80.0,False,
00:00:17.154,80.0,80.0,False,
00:00:17.256,80.0,80.0,False,
00:00:17.356,80.0,80.0,False,
00:00:17.457,80.0,80.0,False,
00:00:17.557,80.0,80.0,False,
00:00:17.657,80.0,80.0,False,
00:00:17.758,80.0,80.0,False,
00:00:17.859,80.0,80.0,False,
00:00:17.959,80.0,80.0,False,
00:00:18.061,80.0,80.0,False,
00:00:18.162,80.0,80.0,False,
00:00:18.262,80.0,80.0,False,
00:00:18.363,80.0,80.0,False,
00:00:18.464,80.0,80.0,False,
00:00:18.510,80.0,80.0,True,0.0
00:00:18.565,80.0,80.0,False,
00:00:18.666,80.0,80.0,False,
00:00:18.768,80.0,80.0,False,
00:00:18.868,80.0,80.0,False,
00:00:18.970,80.0,80.0,False,
00:00:19.071,80.0,80.0,False,
00:00:19.172,80.0,80.0,False,
00:00:19.273,79.90551394452336,78.58394279563566,False,
00:00:19.374,79.18698390326618,69.45277476345709,False,
00:00:19.474,77.59568374019553,62.22279804275962,False,
00:00:19.575,75.39918421559447,56.3167185245391,False,
00:00:19.675,72.86011431391181,51.47666402865499,False,
00:00:19.729,71.3570681339872,49.26,True,49.26
00:00:19.776,70.1360442105811,49.26,False,
00:00:19.877,67.65786351068178,49.26,False,
00:00:19.978,65.46034497218038,49.26,False,
00:00:20.079,63.546587178841975,49.26,False,
00:00:20.162,62.110028939587245,72.64,True,138.25
00:00:20.180,62.75347118787097,72.64,False,
00:00:20.282,65.60527184923293,72.64,False,
00:00:20.383,67.33806655983761,72.64,False,
00:00:20.485,68.53300712330643,72.64,False,
00:00:20.586,69.45434114231246,72.64,False,
00:00:20.602,69.58993547709126,86.12,True,136.99
00:00:20.687,80.5744712038701,95.71057333031078,False,
00:00:20.787,85.91805093105393,95.71057333031078,False,
00:00:20.889,88.71189274857699,95.71057333031078,False,
00:00:20.989,90.4151082526427,95.71057333031078,False,
00:00:21.013,90.74266974414525,140.19,True,145.63
00:00:21.089,113.68622566904564,136.97267788897133,False,
00:00:21.190,123.73861266618104,136.97267788897133,False,
00:00:21.291,128.13644159879556,136.97267788897133,False,
00:00:21.391,130.51965284062305,136.97267788897133,False,
00:00:21.426,131.14367543567644,142.41,True,144.93
00:00:21.492,133.7855521458526,143.05513997101116,False,
00:00:21.592,136.35522343435017,143.05513997101116,False,
00:00:21.694,137.97069649086873,143.05513997101116,False,
00:00:21.742,138.57169099027783,157.48,True,189.27
00:00:21.795,144.4440434516849,160.61376417831264,False,
00:00:21.897,150.33910400657308,160.61376417831264,False,
00:00:21.948,152.11458408623554,192.51,True,294.12
00:00:21.997,172.40309043116986,205.32677751584333,False,
00:00:22.093,188.83087133264024,269.87,True,410.96
00:00:22.098,188.83087133264024,280.40136073583756,False,
00:00:22.199,248.28187345615277,280.40136073583756,False,
00:00:22.233,256.53662384806705,367.35,True,428.57
00:00:22.299,308.6579826379555,365.1390594429962,False,
00:00:22.362,335.23289869101825,434.78,True,468.75
00:00:22.399,347.86054224160796,377.7239479665359,False,
00:00:22.501,362.4288644733499,377.7239479665359,False,
00:00:22.505,362.8297099699073,440.1,True,425.53
00:00:22.602,362.9192066465828,362.9192066465828,False,
00:00:22.642,362.9192066465828,440.1,True,428.57
00:00:22.702,377.64207548847094,400.3397242184167,False,
00:00:22.790,386.6416048718817,426.54,True,425.53
00:00:22.803,388.37847275470523,408.8249612378698,False,
00:00:22.904,396.7180284748547,408.8249612378698,False,
00:00:22.932,398.10717679258164,418.6,True,402.68
00:00:23.005,397.6729396785331,393.00444216474034,False,
00:00:23.080,397.2484637251801,410.96,True,405.41
00:00:23.105,396.80260424730903,382.3031886940072,False,
00:00:23.206,395.08079325187396,382.3031886940072,False,
00:00:23.307,387.92610971678596,263.36425437862096,False,
00:00:23.350,380.06765057568725,317.46,True,222.22
00:00:23.408,375.8934668835361,319.30510161897575,False,
00:00:23.510,369.171611599126,319.30510161897575,False,
